symbol,crnt price,mcap,public,promoter,,mcap bse,mcap ff
Anant Raj Ltd,,"15,850",40,60,,"15,850.06","6,289.97"
Brigade Enterprises Ltd,965.1,"23,618",58.63,41.37,,"23,617.58","13,322.25"
DLF,,"1,63,804",25.92,74.08,,"1,63,803.75","42,339.67"
Godrej Properties,"2,075.30","62,520",53.5,46.5,,"62,519.67","29,602.94"
Macrotech,"1,152.50","1,15,155",28.02,71.98,,"1,15,154.73","32,171.93"
Oberoi Realty Ltd,"1,569.35","57,042",32.3,67.7,,"57,041.92","18,414.10"
Prestige Estates Projects,"1,178.15","50,744",39.06,60.94,,"50,744.33","19,819.01"
Signatureglobal (India) Ltd,"1,037.00","14,577",30.37,69.63,,"14,577.28","4,231.35"
Sobha Ltd,"1,199.20","12,826",47.23,52.77,,"12,819.41","5,335.05"
The Phoenix Mills Ltd,"1,578.55","56,414",52.74,47.26,,"56,411.88","29,342.58"
