"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"790","Generic Engineering Construction & Projects Ltd","GENCON","P&F | F.A","19.97%","28.72","7,60,434"
"944","Dangee Dums Ltd","DANGEE","P&F | F.A","19.95%","4.99","16,67,646"
"881","Vaishali Pharma Ltd","VAISHALI","P&F | F.A","19.92%","12.58","22,34,071"
"13","BSE (Bombay stock exchange)","BSE","P&F | F.A","16.98%","5479.8","1,87,73,111"
"785","DRC Systems India Ltd","DRCSYSTEMS","P&F | F.A","15.87%","30","31,11,143"
"823","Rajshree Polypack Ltd","RPPL","P&F | F.A","14.26%","22.6","5,82,669"
"724","Medico Remedies Ltd","MEDICO","P&F | F.A","13.04%","51.57","42,09,225"
"40","Power Mech Projects Limited","POWERMECH","P&F | F.A","11.59%","2717.65","7,03,774"
"459","Veranda Learning Solutions Ltd","VERANDA","P&F | F.A","10.56%","211.47","7,57,242"
"860","Mangalam Global Enterprise Ltd","MGEL","P&F | F.A","10.11%","15.14","15,57,449"
"822","North Eastern Carrying Corporation Limited","NECCLTD","P&F | F.A","9.28%","22.72","10,41,344"
"736","Mbl Infrastructures Limited","MBLINFRA","P&F | F.A","9.15%","45.19","24,43,100"
"624","Vintage Coffee & Beverages Ltd","VINCOFE","P&F | F.A","8.3%","97.76","15,68,579"
"460","Hindware Home Innovation Ltd","HINDWAREAP","P&F | F.A","7.76%","209.49","12,72,605"
"673","Jindal Worldwide Limited","JINDWORLD","P&F | F.A","7.65%","71.37","91,09,297"
"876","Moksh Ornaments Ltd","MOKSH","P&F | F.A","7.59%","13.33","9,98,811"
"808","Udaipur Cement Works Ltd","UDAICEMENT","P&F | F.A","7.47%","25.9","28,67,006"
"277","Aster DM Healthcare Ltd","ASTERDM","P&F | F.A","6.65%","483.5","2,64,84,708"
"742","Shree Tirupati Balajee Agro Trading Co. Ltd","BALAJEE","P&F | F.A","6.44%","44.27","15,88,470"
"474","Bharat Wire Ropes Limited","BHARATWIRE","P&F | F.A","6.42%","192.45","4,24,944"
"430","Baazar Style Retail Ltd","STYLEBAAZA","P&F | F.A","5.93%","240.73","7,76,620"
"245","Sumitomo Chemical India Ltd","SUMICHEM","P&F | F.A","5.47%","559.35","12,73,067"
"136","Carborundum Universal Limited","CARBORUNIV","P&F | F.A","5.24%","1014.15","12,99,037"
"337","Epack Durable Ltd","EPACK","P&F | F.A","5%","368.75","15,31,467"
"957","Reliance Home Finance Ltd","RHFL","P&F | F.A","5%","3.36","17,04,377"
"779","Mcleod Russel India Limited","MCLEODRUSS","P&F | F.A","4.98%","33.75","1,88,172"
"923","Aksh Optifibre Limited","AKSHOPTFBR","P&F | F.A","4.94%","7.86","6,63,199"
"342","Zaggle Prepaid Ocean Services Ltd","ZAGGLE","P&F | F.A","4.79%","361.15","8,31,740"
"262","Nava Ltd","NAVA","P&F | F.A","4.72%","518.75","17,32,154"
"256","Transformers & Rectifiers India Ltd","TARIL","P&F | F.A","4.6%","536.2","12,44,396"
"938","Unitech Limited","UNITECH","P&F | F.A","4.6%","5.91","67,50,509"
"862","Pil Italica Lifestyle Limited","PILITA","P&F | F.A","4.45%","14.54","7,98,429"
"63","Aditya Birla Real Estate Ltd","ABREL","P&F | F.A","4.29%","1959.9","4,31,426"
"801","Msp Steel & Power Limited","MSPL","P&F | F.A","4.2%","27.31","18,85,848"
"589","Nitco Limited","NITCO","P&F | F.A","4.18%","119.12","16,27,897"
"984","Shree Ram Proteins Ltd","SRPL","P&F | F.A","4%","1.04","3,55,835"
"199","Fortis Healthcare Limited","FORTIS","P&F | F.A","3.95%","698.35","60,70,165"
"676","Mufin Green Finance Ltd","MUFIN","P&F | F.A","3.93%","70.01","3,12,473"
"464","Indraprastha Gas Limited","IGL","P&F | F.A","3.9%","203.12","68,62,377"
"988","GACM Technologies Ltd-DVR","GATECHDVR","P&F | F.A","3.7%","0.84","3,85,103"
"123","Suven Pharmaceuticals Ltd","SUVENPHAR","P&F | F.A","3.68%","1151","3,16,773"
"936","Gayatri Projects Limited","GAYAPROJ","P&F | F.A","3.66%","6.23","8,14,054"
"993","Shrenik Ltd","SHRENIK","P&F | F.A","3.64%","0.57","18,69,026"
"725","B. L. Kashyap And Sons Limited","BLKASHYAP","P&F | F.A","3.57%","51.29","9,44,898"
"992","GACM Technologies Ltd","GATECH","P&F | F.A","3.51%","0.59","24,64,729"
"354","Poonawalla Fincorp Ltd","POONAWALLA","P&F | F.A","3.5%","350.45","41,97,052"
"329","International Gemmological Institute (India) Ltd","IGIL","P&F | F.A","3.42%","385.2","25,38,897"
"939","Exxaro Tiles Ltd","EXXARO","P&F | F.A","3.38%","5.81","13,30,725"
"848","Avonmore Capital & Management Services Ltd","AVONMORE","P&F | F.A","3.34%","17.01","10,91,067"
"500","Capri Global Capital Limited","CGCL","P&F | F.A","3.22%","170.21","6,07,81,862"
"289","Hindustan Zinc Limited","HINDZINC","P&F | F.A","3.13%","461.9","56,76,960"
"513","Inox Wind Limited","INOXWIND","P&F | F.A","2.95%","163.04","2,20,80,515"
"271","Choice International Ltd","CHOICEIN","P&F | F.A","2.94%","501.85","4,91,011"
"141","TATA Consumer Products Ltd","TATACONSUM","P&F | F.A","2.91%","1001.9","23,13,101"
"282","Akums Drugs & Pharmaceuticals Ltd","AKUMS","P&F | F.A","2.81%","473.2","3,45,942"
"536","Mold-tek Technologies Limited","MOLDTECH","P&F | F.A","2.81%","148.72","4,19,969"
"221","Krishna Institute of Medical Sciences Ltd","KIMS","P&F | F.A","2.75%","639.6","9,06,433"
"250","Healthcare Global Enterprises Limited","HCG","P&F | F.A","2.73%","542.1","3,64,586"
"114","Central Depository Services Ltd","CDSL","P&F | F.A","2.72%","1220.05","1,16,46,090"
"446","Piramal Pharma Ltd","PPLPHARMA","P&F | F.A","2.72%","224.75","46,94,328"
"113","Kaveri Seed Company Limited","KSCL","P&F | F.A","2.66%","1263.15","2,62,757"
"573","JTEKT India Ltd","JTEKTINDIA","P&F | F.A","2.65%","124.72","3,35,717"
"293","Cyient DLM Ltd","CYIENTDLM","P&F | F.A","2.62%","457.65","16,72,783"
"489","FSN E-Commerce Ventures Ltd","NYKAA","P&F | F.A","2.6%","179.08","53,47,936"
"32","Beml Limited","BEML","P&F | F.A","2.52%","3219.55","22,98,536"
"94","Voltas Limited","VOLTAS","P&F | F.A","2.48%","1458.7","21,04,275"
"248","Balrampur Chini Mills Limited","BALRAMCHIN","P&F | F.A","2.2%","547.5","6,70,593"
"687","Imagicaaworld Entertainment Ltd","IMAGICAA","P&F | F.A","2.16%","66.11","16,35,226"
"210","Strides Shasun Limited","STAR","P&F | F.A","2.14%","669.2","4,01,360"
